,text,code,task_id,test_list
0,"Write a function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][].","```java
public class MinCostPath {
    static final int R = 3;
    static final int C = 3;

    public static int minCost(int[][] cost, int m, int n) {
        int[][] tc = new int[R][C];
        tc[0][0] = cost[0][0];

        for (int i = 1; i <= m; i++) {
            tc[i][0] = tc[i - 1][0] + cost[i][0];
        }
        for (int j = 1; j <= n; j++) {
            tc[0][j] = tc[0][j - 1] + cost[0][j];
        }
        for (int i = 1; i <= m; i++) {
            for (int j = 1; j <= n; j++) {
                tc[i][j] = Math.min(Math.min(tc[i - 1][j - 1], tc[i - 1][j]), tc[i][j - 1]) + cost[i][j];
            }
        }
        return tc[m][n];
    }
}
```",1,"```java
assert min_cost(new int[][]{{1, 2, 3}, {4, 8, 2}, {1, 5, 3}}, 2, 2) == 8;
assert min_cost(new int[][]{{2, 3, 4}, {5, 9, 3}, {2, 6, 4}}, 2, 2) == 12;
assert min_cost(new int[][]{{3, 4, 5}, {6, 10, 4}, {3, 7, 5}}, 2, 2) == 16;
```"
1,Write a function to find the similar elements from the given two tuple lists.,"```java
import java.util.HashSet;
import java.util.Set;

public class SimilarElements {
    public static Object[] similarElements(Object[] testTup1, Object[] testTup2) {
        Set<Object> set1 = new HashSet<>(Set.of(testTup1));
        Set<Object> set2 = new HashSet<>(Set.of(testTup2));
        set1.retainAll(set2);
        return new Object[]{set1.toArray(new Object[0])};
    }
}
```",2,"```java
assert similarElements(new int[]{3, 4, 5, 6}, new int[]{5, 7, 4, 10}).equals(new int[]{4, 5});
assert similarElements(new int[]{1, 2, 3, 4}, new int[]{5, 4, 3, 7}).equals(new int[]{3, 4});
assert similarElements(new int[]{11, 12, 14, 13}, new int[]{17, 15, 14, 13}).equals(new int[]{13, 14});
```"
2,Write a python function to identify non-prime numbers.,"```java
import java.lang.Math;

public class Main {
    public static boolean isNotPrime(int n) {
        boolean result = false;
        for (int i = 2; i <= Math.sqrt(n); i++) {
            if (n % i == 0) {
                result = true;
            }
        }
        return result;
    }
}
```",3,"```java
assert !isNotPrime(2);
assert isNotPrime(10);
assert isNotPrime(35);
```"
3,Write a function to find the largest integers from a given list of numbers using heap queue algorithm.,"```java
import java.util.PriorityQueue;
import java.util.Collections;

public class Main {
    public static int[] heapQueueLargest(int[] nums, int n) {
        PriorityQueue<Integer> pq = new PriorityQueue<>(Collections.reverseOrder());
        for (int num : nums) {
            pq.add(num);
        }
        int[] largestNums = new int[n];
        for (int i = 0; i < n; i++) {
            largestNums[i] = pq.poll();
        }
        return largestNums;
    }
}
```",4,"```java
assert heapQueueLargest(new int[]{25, 35, 22, 85, 14, 65, 75, 22, 58}, 3).equals(Arrays.asList(85, 75, 65));
assert heapQueueLargest(new int[]{25, 35, 22, 85, 14, 65, 75, 22, 58}, 2).equals(Arrays.asList(85, 75));
assert heapQueueLargest(new int[]{25, 35, 22, 85, 14, 65, 75, 22, 58}, 5).equals(Arrays.asList(85, 75, 65, 58, 35));
```"
4,Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,"```java
public class CountWays {
    public static int[] countWays(int n) {
        int[] A = new int[n + 1];
        int[] B = new int[n + 1];
        A[0] = 1;
        A[1] = 0;
        B[0] = 0;
        B[1] = 1;

        for (int i = 2; i <= n; i++) {
            A[i] = A[i - 2] + 2 * B[i - 1];
            B[i] = A[i - 1] + B[i - 2];
        }
        
        return new int[]{A[n], B[n]};
    }
}
```",5,"```java
assert countWays(2) == 3;
assert countWays(8) == 153;
assert countWays(12) == 2131;
```"
5,Write a python function to check whether the two numbers differ at one bit position only or not.,"```java
public class Main {
    public static boolean isPowerOfTwo(int x) {
        return x != 0 && (x & (x - 1)) == 0;
    }

    public static boolean differAtOneBitPos(int a, int b) {
        return isPowerOfTwo(a ^ b);
    }
}
```",6,"```java
assert differ_At_One_Bit_Pos(13, 9) == true;
assert differ_At_One_Bit_Pos(15, 8) == false;
assert differ_At_One_Bit_Pos(2, 4) == false;
```"
6,Write a function to find all words which are at least 4 characters long in a string by using regex.,"```java
import java.util.regex.*;
import java.util.ArrayList;
import java.util.List;

public class Main {
    public static List<String> findCharLong(String text) {
        List<String> result = new ArrayList<>();
        Matcher matcher = Pattern.compile(""\\b\\w{4,}\\b"").matcher(text);
        while (matcher.find()) {
            result.add(matcher.group());
        }
        return result;
    }
}
```",7,"```java
assert findCharLong(""Please move back to stream"").equals(Arrays.asList(""Please"", ""move"", ""back"", ""stream""));
assert findCharLong(""Jing Eco and Tech"").equals(Arrays.asList(""Jing"", ""Tech""));
assert findCharLong(""Jhingai wulu road Zone 3"").equals(Arrays.asList(""Jhingai"", ""wulu"", ""road"", ""Zone""));
```"
7,Write a function to find squares of individual elements in a list using lambda function.,"```java
import java.util.Arrays;

public class Main {
    public static int[] squareNums(int[] nums) {
        return Arrays.stream(nums)
                     .map(x -> x * x)
                     .toArray();
    }
}
```",8,"```java
assert Arrays.equals(squareNums(new int[]{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), new int[]{1, 4, 9, 16, 25, 36, 49, 64, 81, 100});
assert Arrays.equals(squareNums(new int[]{10, 20, 30}), new int[]{100, 400, 900});
assert Arrays.equals(squareNums(new int[]{12, 15}), new int[]{144, 225});
```"
8,Write a python function to find the minimum number of rotations required to get the same string.,"```java
public class RotationFinder {
    public static int findRotations(String str) {
        String tmp = str + str;
        int n = str.length();
        for (int i = 1; i <= n; i++) {
            String substring = tmp.substring(i, i + n);
            if (str.equals(substring)) {
                return i;
            }
        }
        return n;
    }
}
```",9,"```java
assert find_Rotations(""aaaa"") == 1;
assert find_Rotations(""ab"") == 2;
assert find_Rotations(""abc"") == 3;
```"
9,Write a function to get the n smallest items from a dataset.,"```java
import java.util.Arrays;
import java.util.PriorityQueue;

public class Main {
    public static int[] smallNNum(int[] list1, int n) {
        PriorityQueue<Integer> heap = new PriorityQueue<>();
        for (int num : list1) {
            heap.offer(num);
        }
        
        int[] smallest = new int[n];
        for (int i = 0; i < n; i++) {
            smallest[i] = heap.poll();
        }
        
        return smallest;
    }
}
```",10,"```java
import java.util.Arrays;

public class Main {
    public static void main(String[] args) {
        assert Arrays.equals(smallNNum(new int[]{10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100}, 2), new int[]{10, 20});
        assert Arrays.equals(smallNNum(new int[]{10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100}, 5), new int[]{10, 20, 20, 40, 50});
        assert Arrays.equals(smallNNum(new int[]{10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100}, 3), new int[]{10, 20, 20});
    }

    public static int[] smallNNum(int[] nums, int n) {
        // Method implementation here (not provided)
        return new int[]{};
    }
}
```"
