,text,code,task_id,test_list
0," this function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][].","```javascript
const R = 3;
const C = 3;

function minCost(cost, m, n) {
    let tc = Array.from({ length: R }, () => Array(C).fill(0));
    tc[0][0] = cost[0][0];
    
    for (let i = 1; i <= m; i++) {
        tc[i][0] = tc[i - 1][0] + cost[i][0];
    }
    
    for (let j = 1; j <= n; j++) {
        tc[0][j] = tc[0][j - 1] + cost[0][j];
    }
    
    for (let i = 1; i <= m; i++) {
        for (let j = 1; j <= n; j++) {
            tc[i][j] = Math.min(tc[i - 1][j - 1], tc[i - 1][j], tc[i][j - 1]) + cost[i][j];
        }
    }
    
    return tc[m][n];
}
```",1,"```javascript
['console.assert(min_cost([[1, 2, 3], [4, 8, 2], [1, 5, 3]], 2, 2) === 8)', 'console.assert(min_cost([[2, 3, 4], [5, 9, 3], [2, 6, 4]], 2, 2) === 12)', 'console.assert(min_cost([[3, 4, 5], [6, 10, 4], [3, 7, 5]], 2, 2) === 16)']
```"
1, this function to find the similar elements from the given two tuple lists.,"```javascript
function similarElements(testTup1, testTup2) {
    const res = [...new Set(testTup1)].filter(value => new Set(testTup2).has(value));
    return [res];
}
```",2,"```javascript
console.assert(similar_elements([3, 4, 5, 6], [5, 7, 4, 10]).toString() === [4, 5].toString());
console.assert(similar_elements([1, 2, 3, 4], [5, 4, 3, 7]).toString() === [3, 4].toString());
console.assert(similar_elements([11, 12, 14, 13], [17, 15, 14, 13]).toString() === [13, 14].toString());
```"
2, this   function to identify non-prime numbers.,"```javascript
function isNotPrime(n) {
    let result = false;
    for (let i = 2; i <= Math.sqrt(n); i++) {
        if (n % i === 0) {
            result = true;
        }
    }
    return result;
}
```",3,"```javascript
console.assert(is_not_prime(2) === false);
console.assert(is_not_prime(10) === true);
console.assert(is_not_prime(35) === true);
```"
3, this function to find the largest integers from a given list of numbers using heap queue algorithm.,"```javascript
function heapQueueLargest(nums, n) {
  return nums.sort((a, b) => b - a).slice(0, n);
}
```",4,"```javascript
['console.assert(heap_queue_largest([25, 35, 22, 85, 14, 65, 75, 22, 58], 3).toString() === [85, 75, 65].toString())', 'console.assert(heap_queue_largest([25, 35, 22, 85, 14, 65, 75, 22, 58], 2).toString() === [85, 75].toString())', 'console.assert(heap_queue_largest([25, 35, 22, 85, 14, 65, 75, 22, 58], 5).toString() === [85, 75, 65, 58, 35].toString())']
```"
4, this function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,"```javascript
function countWays(n) { 
    let A = new Array(n + 1).fill(0); 
    let B = new Array(n + 1).fill(0); 
    A[0] = 1; 
    A[1] = 0; 
    B[0] = 0; 
    B[1] = 1; 
    for (let i = 2; i <= n; i++) { 
        A[i] = A[i - 2] + 2 * B[i - 1]; 
        B[i] = A[i - 1] + B[i - 2]; 
    } 
    return [A[n]]; 
}
```",5,"```javascript
console.assert(count_ways(2) === 3);
console.assert(count_ways(8) === 153);
console.assert(count_ways(12) === 2131);
```"
5, this   function to check whether the two numbers differ at one bit position only or not.,"```javascript
function isPowerOfTwo(x) { 
    return x && !(x & (x - 1)); 
}

function differAtOneBitPos(a, b) { 
    return isPowerOfTwo(a ^ b); 
}
```",6,"```javascript
['console.assert(differ_At_One_Bit_Pos(13,9) === true)', 'console.assert(differ_At_One_Bit_Pos(15,8) === false)', 'console.assert(differ_At_One_Bit_Pos(2,4) === false)']
```"
6, this function to find all words which are at least 4 characters long in a string by using regex.,"```javascript
function findCharLong(text) {
  return text.match(/\b\w{4,}\b/g);
}
```",7,"```javascript
console.assert(find_char_long('Please move back to stream').toString() === ['Please', 'move', 'back', 'stream'].toString());
console.assert(find_char_long('Jing Eco and Tech').toString() === ['Jing', 'Tech'].toString());
console.assert(find_char_long('Jhingai wulu road Zone 3').toString() === ['Jhingai', 'wulu', 'road', 'Zone'].toString());
```"
7, this function to find squares of individual elements in a list using lambda function.,"```javascript
function squareNums(nums) {
    const squareNums = nums.map(x => x ** 2);
    return squareNums;
}
```",8,"```javascript
['console.assert(JSON.stringify(square_nums([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])) === JSON.stringify([1, 4, 9, 16, 25, 36, 49, 64, 81, 100])', 'console.assert(JSON.stringify(square_nums([10,20,30])) === JSON.stringify([100,400,900]))', 'console.assert(JSON.stringify(square_nums([12,15])) === JSON.stringify([144,225]))']
```"
8, this   function to find the minimum number of rotations required to get the same string.,"```javascript
function findRotations(str) {
    let tmp = str + str;
    let n = str.length;
    for (let i = 1; i <= n; i++) {
        let substring = tmp.slice(i, i + n);
        if (str === substring) {
            return i;
        }
    }
    return n;
}
```",9,"```javascript
console.assert(find_Rotations(""aaaa"") === 1);
console.assert(find_Rotations(""ab"") === 2);
console.assert(find_Rotations(""abc"") === 3);
```"
9, this function to get the n smallest items from a dataset.,"```javascript
function smallNNum(list1, n) {
  return list1.sort((a, b) => a - b).slice(0, n);
}
```",10,"```javascript
['console.assert(small_nnum([10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100], 2).toString() === [10, 20].toString())', 'console.assert(small_nnum([10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100], 5).toString() === [10, 20, 20, 40, 50].toString())', 'console.assert(small_nnum([10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100], 3).toString() === [10, 20, 20].toString())']
```"
