,text,code,task_id,test_list
0,"Write a function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][].","```cpp
#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;

const int R = 3;
const int C = 3;

pair<int, int> min_cost(vector<vector<int>>& cost, int m, int n) {
    vector<vector<int>> tc(R, vector<int>(C, 0));
    tc[0][0] = cost[0][0];
    
    for (int i = 1; i <= m; i++) 
        tc[i][0] = tc[i-1][0] + cost[i][0];
        
    for (int j = 1; j <= n; j++) 
        tc[0][j] = tc[0][j-1] + cost[0][j];
        
    for (int i = 1; i <= m; i++) {
        for (int j = 1; j <= n; j++) {
            tc[i][j] = min({tc[i-1][j-1], tc[i-1][j], tc[i][j-1]}) + cost[i][j];
        }
    }
    
    return {tc[m][n], 0}; // Replace 0 with an appropriate second value if needed
}
```",1,"```cpp
#include <cassert>
#include <vector>

int min_cost(const std::vector<std::vector<int>>& grid, int x, int y);

int main() {
    assert(min_cost({{1, 2, 3}, {4, 8, 2}, {1, 5, 3}}, 2, 2) == 8);
    assert(min_cost({{2, 3, 4}, {5, 9, 3}, {2, 6, 4}}, 2, 2) == 12);
    assert(min_cost({{3, 4, 5}, {6, 10, 4}, {3, 7, 5}}, 2, 2) == 16);
    return 0;
}
```"
1,Write a function to find the similar elements from the given two tuple lists.,"```cpp
#include <iostream>
#include <tuple>
#include <set>
#include <vector>

std::tuple<std::set<int>> similar_elements(const std::vector<int>& test_tup1, const std::vector<int>& test_tup2) {
    std::set<int> set1(test_tup1.begin(), test_tup1.end());
    std::set<int> set2(test_tup2.begin(), test_tup2.end());
    
    std::set<int> res;
    std::set_intersection(set1.begin(), set1.end(), set2.begin(), set2.end(), std::inserter(res, res.begin()));
    
    return std::make_tuple(res);
}
```",2,"```cpp
#include <cassert>
#include <tuple>

std::tuple<int, int> similar_elements(const std::tuple<int, int, int, int>& a, const std::tuple<int, int, int, int>& b) {
    // Implementation of similar_elements function should go here
}

int main() {
    assert(similar_elements(std::make_tuple(3, 4, 5, 6), std::make_tuple(5, 7, 4, 10)) == std::make_tuple(4, 5));
    assert(similar_elements(std::make_tuple(1, 2, 3, 4), std::make_tuple(5, 4, 3, 7)) == std::make_tuple(3, 4));
    assert(similar_elements(std::make_tuple(11, 12, 14, 13), std::make_tuple(17, 15, 14, 13)) == std::make_tuple(13, 14));
    return 0;
}
```"
2,Write a python function to identify non-prime numbers.,"```cpp
#include <cmath>

bool is_not_prime(int n) {
    bool result = false;
    for (int i = 2; i <= sqrt(n); ++i) {
        if (n % i == 0) {
            result = true;
        }
    }
    return result;
}
```",3,"```cpp
#include <cassert>

int main() {
    assert(is_not_prime(2) == false);
    assert(is_not_prime(10) == true);
    assert(is_not_prime(35) == true);
    return 0;
}
```"
3,Write a function to find the largest integers from a given list of numbers using heap queue algorithm.,"```cpp
#include <vector>
#include <queue>

std::vector<int> heap_queue_largest(const std::vector<int>& nums, int n) {
    std::priority_queue<int> pq(nums.begin(), nums.end());
    std::vector<int> largest_nums;
    for (int i = 0; i < n && !pq.empty(); ++i) {
        largest_nums.push_back(pq.top());
        pq.pop();
    }
    return largest_nums;
}
```",4,"```cpp
#include <cassert>
#include <vector>
#include <algorithm>

std::vector<int> heap_queue_largest(std::vector<int> nums, int k) {
    std::make_heap(nums.begin(), nums.end());
    std::vector<int> result;

    for (int i = 0; i < k; ++i) {
        std::pop_heap(nums.begin(), nums.end() - i);
        result.push_back(nums.back());
    }

    std::sort(result.begin(), result.end(), std::greater<int>());
    return result;
}

int main() {
    assert(heap_queue_largest({25, 35, 22, 85, 14, 65, 75, 22, 58}, 3) == std::vector<int>{85, 75, 65});
    assert(heap_queue_largest({25, 35, 22, 85, 14, 65, 75, 22, 58}, 2) == std::vector<int>{85, 75});
    assert(heap_queue_largest({25, 35, 22, 85, 14, 65, 75, 22, 58}, 5) == std::vector<int>{85, 75, 65, 58, 35});
    
    return 0;
}
```"
4,Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,"```cpp
#include <vector>

std::pair<int, int> count_ways(int n) {
    std::vector<int> A(n + 1, 0);
    std::vector<int> B(n + 1, 0);
    A[0] = 1;
    A[1] = 0;
    B[0] = 0;
    B[1] = 1;
    for (int i = 2; i <= n; ++i) {
        A[i] = A[i - 2] + 2 * B[i - 1];
        B[i] = A[i - 1] + B[i - 2];
    }
    return {A[n], B[n]};
}
```",5,"```cpp
#include <cassert>

int count_ways(int n);

int main() {
    assert(count_ways(2) == 3);
    assert(count_ways(8) == 153);
    assert(count_ways(12) == 2131);
    return 0;
}
```"
5,Write a python function to check whether the two numbers differ at one bit position only or not.,"```cpp
bool is_Power_Of_Two(int x) { 
    return x && !(x & (x - 1)); 
}

bool differ_At_One_Bit_Pos(int a, int b) { 
    return is_Power_Of_Two(a ^ b); 
}
```",6,"```cpp
#include <cassert>

bool differ_At_One_Bit_Pos(int a, int b) {
    return (a ^ b) && !((a ^ b) & ((a ^ b) - 1));
}

int main() {
    assert(differ_At_One_Bit_Pos(13, 9) == true);
    assert(differ_At_One_Bit_Pos(15, 8) == false);
    assert(differ_At_One_Bit_Pos(2, 4) == false);
    return 0;
}
```"
6,Write a function to find all words which are at least 4 characters long in a string by using regex.,"```cpp
#include <iostream>
#include <regex>
#include <string>
#include <vector>

std::vector<std::string> find_char_long(const std::string& text) {
    std::regex word_regex(R""(\b\w{4,}\b)"");
    std::sregex_iterator iter(text.begin(), text.end(), word_regex);
    std::sregex_iterator end;

    std::vector<std::string> results;
    while (iter != end) {
        results.push_back(iter->str());
        ++iter;
    }
    return results;
}
```",7,"```cpp
#include <cassert>
#include <vector>
#include <sstream>
#include <string>

std::vector<std::string> find_char_long(const std::string& str) {
    std::istringstream iss(str);
    std::string word;
    std::vector<std::string> result;
    while (iss >> word) {
        if (word.length() >= 4) {
            result.push_back(word);
        }
    }
    return result;
}

int main() {
    assert(find_char_long(""Please move back to stream"") == std::vector<std::string>{""Please"", ""move"", ""back"", ""stream""});
    assert(find_char_long(""Jing Eco and Tech"") == std::vector<std::string>{""Jing"", ""Tech""});
    assert(find_char_long(""Jhingai wulu road Zone 3"") == std::vector<std::string>{""Jhingai"", ""wulu"", ""road"", ""Zone""});
    return 0;
}
```"
7,Write a function to find squares of individual elements in a list using lambda function.,"```cpp
#include <vector>
#include <algorithm>

std::pair<std::vector<int>, std::vector<int>> square_nums(const std::vector<int>& nums) {
    std::vector<int> squared_nums(nums.size());
    std::transform(nums.begin(), nums.end(), squared_nums.begin(), [](int x) { return x * x; });
    return {squared_nums};
}
```",8,"```cpp
#include <cassert>
#include <vector>

std::vector<int> square_nums(const std::vector<int>& nums) {
    std::vector<int> squares;
    for (int num : nums) {
        squares.push_back(num * num);
    }
    return squares;
}

int main() {
    assert(square_nums({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}) == std::vector<int>({1, 4, 9, 16, 25, 36, 49, 64, 81, 100}));
    assert(square_nums({10, 20, 30}) == std::vector<int>({100, 400, 900}));
    assert(square_nums({12, 15}) == std::vector<int>({144, 225}));
    return 0;
}
```"
8,Write a python function to find the minimum number of rotations required to get the same string.,"```cpp
#include <iostream>
#include <string>

int find_Rotations(const std::string& str) {
    std::string tmp = str + str;
    int n = str.length();
    for (int i = 1; i <= n; ++i) {
        std::string substring = tmp.substr(i, n);
        if (str == substring) {
            return i;
        }
    }
    return n;
}
```",9,"```cpp
#include <cassert>

int find_Rotations(const std::string& str);

int main() {
    assert(find_Rotations(""aaaa"") == 1);
    assert(find_Rotations(""ab"") == 2);
    assert(find_Rotations(""abc"") == 3);
    return 0;
}
```"
9,Write a function to get the n smallest items from a dataset.,"```cpp
#include <vector>
#include <queue>
#include <algorithm>

std::vector<int> small_nnum(const std::vector<int>& list1, int n) {
    std::priority_queue<int, std::vector<int>, std::greater<int>> minHeap;
    for (int num : list1) {
        minHeap.push(num);
    }
    
    std::vector<int> smallest;
    for (int i = 0; i < n && !minHeap.empty(); ++i) {
        smallest.push_back(minHeap.top());
        minHeap.pop();
    }
    
    return smallest;
}
```",10,"```cpp
#include <iostream>
#include <vector>
#include <algorithm>
#include <cassert>

std::vector<int> small_nnum(const std::vector<int>& nums, int n) {
    std::vector<int> result = nums; 
    std::sort(result.begin(), result.end());
    result.resize(n);
    return result;
}

int main() {
    assert((small_nnum({10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100}, 2) == std::vector<int>{10, 20}));
    assert((small_nnum({10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100}, 5) == std::vector<int>{10, 20, 20, 40, 50}));
    assert((small_nnum({10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100}, 3) == std::vector<int>{10, 20, 20}));
    return 0;
}
```"
