Unnamed: 0,text,code,task_id,test_list
6,The given code finds all words in a string that have four or more characters using regular expressions.,"
import java.util.regex.*;
import java.util.ArrayList;
import java.util.List;

public class Main {
    public static List<String> findCharLong(String text) {
        List<String> result = new ArrayList<>();
        Matcher matcher = Pattern.compile(""\\b\\w{4,}\\b"").matcher(text);
        while (matcher.find()) {
            result.add(matcher.group());
        }
        return result;
    }
}
",7,"
assert findCharLong(""Please move back to stream"").equals(Arrays.asList(""Please"", ""move"", ""back"", ""stream""));
assert findCharLong(""Jing Eco and Tech"").equals(Arrays.asList(""Jing"", ""Tech""));
assert findCharLong(""Jhingai wulu road Zone 3"").equals(Arrays.asList(""Jhingai"", ""wulu"", ""road"", ""Zone""));
"
9,The given code retrieves the n smallest numbers from a given list of integers.,"
import java.util.Arrays;
import java.util.PriorityQueue;

public class Main {
    public static int[] smallNNum(int[] list1, int n) {
        PriorityQueue<Integer> heap = new PriorityQueue<>();
        for (int num : list1) {
            heap.offer(num);
        }
        
        int[] smallest = new int[n];
        for (int i = 0; i < n; i++) {
            smallest[i] = heap.poll();
        }
        
        return smallest;
    }
}
",10,"
assert Arrays.equals(smallNNum(new int[]{10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100}, 2), new int[]{10, 20});
assert Arrays.equals(smallNNum(new int[]{10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100}, 5), new int[]{10, 20, 20, 40, 50});
assert Arrays.equals(smallNNum(new int[]{10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100}, 3), new int[]{10, 20, 20});
"
50,The given code checks if a triangle is equilateral by verifying if all three sides have equal lengths.,"
public static boolean checkEquilateral(int x, int y, int z) {
	if (x == y && y == z) {
        return true;
    } 
    else {
	    return false;
	}
}
",51,"
assert checkEquilateral(6, 8, 12) == false;
assert checkEquilateral(6, 6, 12) == false;
assert checkEquilateral(6, 6, 6) == true;
"
52,"The given code checks whether the first and last characters of a given string are equal, returning ""Equal"" if they are and ""Not Equal"" if they are not.","
public static String checkEquality(String str) {
        if (str.charAt(0) == str.charAt(str.length() - 1)) {
            return ""Equal"";
        } else {
            return ""Not Equal"";
        }
    }
",53,"
assert checkEquality(""abcda"").equals(""Equal"");
assert checkEquality(""ab"").equals(""Not Equal"");
assert checkEquality(""mad"").equals(""Not Equal"");
"
58,The given code calculates the nth octagonal number using the formula 3n^2 - 2n.,"
public class Main {
    public static int isOctagonal(int n) {
        return 3 * n * n - 2 * n;
    }
}
",59,"
assert isOctagonal(5) == 65;
assert isOctagonal(10) == 280;
assert isOctagonal(15) == 645;
"
70,"The given code sorts a list of integers in ascending order using the comb sort algorithm, which is an improved version of the bubble sort algorithm.","
public static int[] combSort(int[] nums) {
        double shrinkFact = 1.3;
        int gaps = nums.length;
        boolean swapped = true;
        int i = 0;
        
        while (gaps > 1 || swapped) {
            gaps = (int) Math.floor(gaps / shrinkFact);
            swapped = false;
            i = 0;
            while (gaps + i < nums.length) {
                if (nums[i] > nums[i + gaps]) {
                    int temp = nums[i];
                    nums[i] = nums[i + gaps];
                    nums[i + gaps] = temp;
                    swapped = true;
                }
                i++;
            }
        }
        return nums;
    }
",71,"
assert getEqual(new int[][]{{11, 22, 33}, {44, 55, 66}}, 3).equals(""All tuples have same length"");
assert getEqual(new int[][]{{1, 2, 3}, {4, 5, 6, 7}}, 3).equals(""All tuples do not have same length"");
assert getEqual(new int[][]{{1, 2}, {3, 4}}, 2).equals(""All tuples have same length"");
"
72,"The given Java function splits a given string into an array of substrings using multiple delimiters including semicolon, comma, asterisk, and newline.","
public static String[] multipleSplit(String text) {
        return text.split(""; |, |\*|\n"");
    }
",73,"
assert Arrays.equals(multipleSplit(""Forces of the \n darkness*are coming into the play.""), new String[]{""Forces of the \n darkness"", ""are coming into the play.""});
assert Arrays.equals(multipleSplit(""Mi Box runs on the \n Latest android*which has google assistance and chromecast.""),new String[]{""Mi Box runs on the \n Latest android"", ""which has google assistance and chromecast.""});
assert Arrays.equals(multipleSplit(""Certain services\nare subjected to change*over the seperate subscriptions.""),new String[]{""Certain services\nare subjected to change"", ""over the seperate subscriptions.""});
"
80,"The given code combines two arrays of tuples into a single list of tuples, where each tuple in the resulting list contains one element from each of the input arrays, cycling through the second array if it is shorter.","
	public static List<Tuple> zipTuples(int[] testTup1, int[] testTup2) {
        List<Tuple> res = new ArrayList<>();
        for (int i = 0; i < testTup1.length; i++) {
            res.add(new Tuple(testTup1[i], testTup2[i % testTup2.length]));
        }
        return res;
    }
	static class Tuple {
        Object first;
        Object second;

        Tuple(Object first, Object second) {
            this.first = first;
            this.second = second;
        }

        @Override
        public boolean equals(Object obj) {
            if (this == obj) return true;
            if (obj == null || getClass() != obj.getClass()) return false;
            Tuple tuple = (Tuple) obj;
            return Objects.equals(first, tuple.first) && Objects.equals(second, tuple.second);
        }
    }
",81,"
	    	assert zipTuples(new int[]{7, 8, 4, 5, 9, 10}, new int[]{1, 5, 6}).equals(Arrays.asList(
	                new Tuple(7, 1), new Tuple(8, 5), new Tuple(4, 6), new Tuple(5, 1), new Tuple(9, 5), new Tuple(10, 6)
	            ));
	        assert zipTuples(new int[]{8, 9, 5, 6, 10, 11}, new int[]{2, 6, 7}).equals(Arrays.asList(
	                new Tuple(8, 2), new Tuple(9, 6), new Tuple(5, 7), new Tuple(6, 2), new Tuple(10, 6), new Tuple(11, 7)
	            ));
	         assert zipTuples(new int[]{9, 10, 6, 7, 11, 12}, new int[]{3, 7, 8}).equals(Arrays.asList(
	                new Tuple(9, 3), new Tuple(10, 7), new Tuple(6, 8), new Tuple(7, 3), new Tuple(11, 7), new Tuple(12, 8)
	            ));
"
81,The given code calculates the volume of a sphere given its radius using the formula for the volume of a sphere.,"
public static double volumeSphere(double r) {
    double volume = (4.0 / 3.0) * Math.PI * r * r * r;
    return volume;
}
",82,"
assert volumeSphere(10) == 4188.790204786391;
assert volumeSphere(25) == 65449.84694978735;
assert volumeSphere(20) == 33510.32163829113;
"
88,The given code subtracts 1 from the input number to find the closest smaller number.,"
public static int closestNum(int N) {
        return N - 1;
    }
",89,"
[
assert closestNum(11) == 10;
,
assert closestNum(7) == 6;
,
assert closestNum(12) == 11;]
"
