Unnamed: 0,text,code,task_id,modified
6,This is  a function to find all words which are at least 4 characters long in a string by using regex.,"```
#include <iostream>
#include <regex>
#include <string>
#include <vector>

std::vector<std::string> find_char_long(const std::string& text) {
    std::regex word_regex(R""(\b\w{4,}\b)"");
    std::sregex_iterator iter(text.begin(), text.end(), word_regex);
    std::sregex_iterator end;

    std::vector<std::string> results;
    while (iter != end) {
        results.push_back(iter->str());
        ++iter;
    }
    return results;
}
```",7,"[assert((find_char_long(""Please move back to stream"") == std::vector<std::string>{""Please"", ""move"", ""back"", ""stream""}));, assert((find_char_long(""Jing Eco and Tech"") == std::vector<std::string>{""Jing"", ""Tech""}));, assert((find_char_long(""Jhingai wulu road Zone 3"") == std::vector<std::string>{""Jhingai"", ""wulu"", ""road"", ""Zone""}));]"
9,This is  a function to get the n smallest items from a dataset.,"```
#include <vector>
#include <queue>
#include <algorithm>

std::vector<int> small_nnum(const std::vector<int>& list1, int n) {
    std::priority_queue<int, std::vector<int>, std::greater<int>> minHeap;
    for (int num : list1) {
        minHeap.push(num);
    }
    
    std::vector<int> smallest;
    for (int i = 0; i < n && !minHeap.empty(); ++i) {
        smallest.push_back(minHeap.top());
        minHeap.pop();
    }
    
    return smallest;
}
```",10,"[assert((small_nnum({ 10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100 }, 2) == std::vector<int>{10, 20}));, assert((small_nnum({ 10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100 }, 5) == std::vector<int>{10, 20, 20, 40, 50}));, assert((small_nnum({ 10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100 }, 3) == std::vector<int>{10, 20, 20}));]"
50,This is  a function to print check if the triangle is equilateral or not.,"```
bool check_equilateral(int x, int y, int z) {
    if (x == y && y == z) {
        return true;
    } else {
        return false;
    }
}
```",51,"[assert(check_equilateral(6, 8, 12) == false);, assert(check_equilateral(6, 6, 12) == false);, assert(check_equilateral(6, 6, 6) == true);]"
52,This is  a C++ function to check whether the first and last characters of a given string are equal or not.,"```
#include <string>

std::string check_Equality(const std::string& str) {
    if (str[0] == str[str.length() - 1]) {
        return ""Equal"";
    } else {
        return ""Not Equal"";
    }
}
```",53,"[assert(check_Equality(""abcda"") == ""Equal"");, assert(check_Equality(""ab"") == ""Not Equal"");, assert(check_Equality(""mad"") == ""Not Equal"");]"
58,This is  a function to find the nth octagonal number.,"```
int is_octagonal(int n) {
    return 3 * n * n - 2 * n;
}
```",59,"[assert(is_octagonal(5) == 65);, assert(is_octagonal(10) == 280);, assert(is_octagonal(15) == 645);]"
70,This is  a function to sort a list of elements using comb sort.,"```
#include <vector>

std::vector<int> comb_sort(std::vector<int> nums) {
    double shrink_fact = 1.3;
    int gaps = nums.size();
    bool swapped = true;
    int i = 0;
    while (gaps > 1 || swapped) {
        gaps = static_cast<int>(gaps / shrink_fact);
        swapped = false;
        i = 0;
        while (gaps + i < nums.size()) {
            if (nums[i] > nums[i + gaps]) {
                std::swap(nums[i], nums[i + gaps]);
                swapped = true;
            }
            i++;
        }
    }
    return nums;
}
```",71,"[assert(comb_sort({5, 15, 37, 25, 79}) == std::vector<int>({5, 15, 25, 37, 79}));, assert(comb_sort({41, 32, 15, 19, 22}) == std::vector<int>({15, 19, 22, 32, 41}));, assert(comb_sort({99, 15, 13, 47}) == std::vector<int>({13, 15, 47, 99}));]"
72,This is  a function to split the given string with multiple delimiters by using regex.,"```
#include <string>
#include <vector>
#include <sstream>
#include <regex>

std::vector<std::string> multiple_split(const std::string& text) {
    std::regex reg("";/ |, |\\*|\\n"");
    std::sregex_token_iterator it(text.begin(), text.end(), reg, -1);
    std::sregex_token_iterator reg_end;
    return std::vector<std::string>(it, reg_end);
}
```",73,"[assert((multiple_split(""Forces of the \\ndarkness*are coming into the play."") == std::vector<std::string>{""Forces of the "", ""darkness"", ""are coming into the play.""}));, assert((multiple_split(""Mi Box runs on the \\n Latest android*which has google assistance and chromecast."") == std::vector<std::string>{""Mi Box runs on the "", "" Latest android"", ""which has google assistance and chromecast.""}));, assert((multiple_split(""Certain services\\nare subjected to change*over the seperate subscriptions."") == std::vector<std::string>{""Certain services"", ""are subjected to change"", ""over the seperate subscriptions.""}));]"
80,This is  a function to zip the two given tuples.,"```
#include <cassert>
#include <tuple>
#include <vector>
#include <iostream>

// Function to zip two tuples into a vector of tuples
std::vector<std::tuple<int, int>> zip_tuples(const std::tuple<int, int, int, int, int, int>& a, const std::tuple<int, int, int>& b) {
    std::vector<std::tuple<int, int>> result;

    // Manually extract elements from tuple a and b
    result.emplace_back(std::make_tuple(std::get<0>(a), std::get<0>(b)));
    result.emplace_back(std::make_tuple(std::get<1>(a), std::get<1>(b)));
    result.emplace_back(std::make_tuple(std::get<2>(a), std::get<2>(b)));
    result.emplace_back(std::make_tuple(std::get<3>(a), std::get<0>(b))); // Wrapping around b
    result.emplace_back(std::make_tuple(std::get<4>(a), std::get<1>(b))); // Wrapping around b
    result.emplace_back(std::make_tuple(std::get<5>(a), std::get<2>(b))); // Wrapping around b

    return result;
}

// Comparison function for two vectors of tuples
bool compare_vectors(const std::vector<std::tuple<int, int>>& v1, const std::vector<std::tuple<int, int>>& v2) {
    return v1 == v2;
}```",81,"[assert(compare_vectors(zip_tuples(std::make_tuple(7, 8, 4, 5, 9, 10), std::make_tuple(1, 5, 6)), std::vector<std::tuple<int, int>>{{7, 1}, {8, 5}, {4, 6}, {5, 1}, {9, 5}, {10, 6}}));, assert(compare_vectors(zip_tuples(std::make_tuple(8, 9, 5, 6, 10, 11), std::make_tuple(2, 6, 7)), std::vector<std::tuple<int, int>>{{8, 2}, {9, 6}, {5, 7}, {6, 2}, {10, 6}, {11, 7}}));, assert(compare_vectors(zip_tuples(std::make_tuple(9, 10, 6, 7, 11, 12), std::make_tuple(3, 7, 8)), std::vector<std::tuple<int, int>>{{9, 3}, {10, 7}, {6, 8}, {7, 3}, {11, 7}, {12, 8}}));]"
81,This is  a function to find the volume of a sphere.,"```
#include <cassert>
#include <cmath>

double volume_sphere(double radius) {
    return (4.0 / 3.0) * M_PI * std::pow(radius, 3);
}```",82,"[assert(volume_sphere(10) == 4188.790204786391);, assert(volume_sphere(25) == 65449.84694978735);, assert(volume_sphere(20) == 33510.32163829113);]"
88,This is  a function to find the closest smaller number than n.,"```
#include <utility>

std::pair<int, int> closest_num(int N) {
    return std::make_pair(N - 1, 0);
}
```",89,"[assert(closest_num(11).first == 10);, assert(closest_num(7).first == 6);, assert(closest_num(12).first == 11);]"
92,This is  a function to calculate the value of 'a' to the power 'b'.,"```
int power(int a, int b) {
    if (b == 0) {
        return 1;
    } else if (a == 0) {
        return 0;
    } else if (b == 1) {
        return a;
    } else {
        return a * power(a, b - 1);
    }
}
```",93,"[assert(power(3, 4) == 81);, assert(power(2, 3) == 8);, assert(power(5, 5) == 3125);]"
95,This is  a C++ function to find the number of divisors of a given integer.,"```
#include <vector>

std::pair<int, int> divisor(int n) {
    int x = 0;
    for (int i = 1; i <= n; ++i) {
        if (n % i == 0) {
            x++;
        }
    }
    return {x, x}; // returning a pair as there's no second value in original code
}
```",96,"[assert(divisor(15).first== 4);, assert(divisor(12).first == 6);, assert(divisor(9).first == 3);]"
