Unnamed: 0,text,code,task_id,modified
0,"This is  a function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][].","
#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;

const int R = 3;
const int C = 3;

pair<int, int> min_cost(vector<vector<int>>cost, int m, int n) {
    vector<vector<int>> tc(R, vector<int>(C, 0));
    tc[0][0] = cost[0][0];

    for (int i = 1; i <= m; i++)
        tc[i][0] = tc[i - 1][0] + cost[i][0];

    for (int j = 1; j <= n; j++)
        tc[0][j] = tc[0][j - 1] + cost[0][j];

    for (int i = 1; i <= m; i++) {
        for (int j = 1; j <= n; j++) {
            tc[i][j] = min({ tc[i - 1][j - 1], tc[i - 1][j], tc[i][j - 1] }) + cost[i][j];
        }
    }

    return { tc[m][n], 0 }; // Replace 0 with an appropriate second value if needed
}
",1,"[assert(min_cost(vector<vector<int>>{ {1, 2, 3}, { 4, 8, 2 }, { 1, 5, 3 }}, 2, 2).first == 8);, assert(min_cost(vector<vector<int>>{ {2, 3, 4}, { 5, 9, 3 }, { 2, 6, 4 }}, 2, 2).first == 12);, assert(min_cost(vector<vector<int>>{ {3, 4, 5}, { 6, 10, 4 }, { 3, 7, 5 }}, 2, 2).first == 16);]"
1,This is  a function to find the similar elements from the given two tuple lists.,"```
#include <iostream>
#include <tuple>
#include <algorithm>
#include <set>
#include <vector>

std::tuple<std::set<int>> similar_elements(const std::vector<int>& test_tup1, const std::vector<int>& test_tup2) {
    std::set<int> set1(test_tup1.begin(), test_tup1.end());
    std::set<int> set2(test_tup2.begin(), test_tup2.end());

    std::set<int> res;
    std::set_intersection(set1.begin(), set1.end(), set2.begin(), set2.end(), std::inserter(res, res.begin()));

    return std::make_tuple(res);
}

```",2,"[assert(similar_elements({ 3, 4, 5, 6 }, { 5, 7, 4, 10 }) == std::make_tuple(std::set<int>{4, 5}));, assert(similar_elements({ 1, 2, 3, 4 }, { 5, 4, 3, 7 }) == std::make_tuple(std::set<int>{3, 4}));, assert(similar_elements({ 11, 12, 14, 13 }, { 17, 15, 14, 13 }) == std::make_tuple(std::set<int>{13, 14}));]"
2,This is  a C++ function to identify non-prime numbers.,"```
#include <cmath>

bool is_not_prime(int n) {
    bool result = false;
    for (int i = 2; i <= sqrt(n); ++i) {
        if (n % i == 0) {
            result = true;
        }
    }
    return result;
}
```",3,"[assert(is_not_prime(2) == false);, assert(is_not_prime(10) == true);, assert(is_not_prime(35) == true);]"
3,This is  a function to find the largest integers from a given list of numbers using heap queue algorithm.,"```

#include <vector>
#include <queue>

std::vector<int> heap_queue_largest(const std::vector<int>& nums, int n) {
    std::priority_queue<int> pq(nums.begin(), nums.end());
    std::vector<int> largest_nums;
    for (int i = 0; i < n && !pq.empty(); ++i) {
        largest_nums.push_back(pq.top());
        pq.pop();
    }
    return largest_nums;
}
```",4,"[assert((heap_queue_largest({ 25, 35, 22, 85, 14, 65, 75, 22, 58 }, 3) == std::vector<int>{85, 75, 65}));, assert((heap_queue_largest({ 25, 35, 22, 85, 14, 65, 75, 22, 58 }, 2) == std::vector<int>{85, 75}));, assert((heap_queue_largest({ 25, 35, 22, 85, 14, 65, 75, 22, 58 }, 5) == std::vector<int>{85, 75, 65, 58, 35}));]"
4,This is  a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,"```
#include <vector>

std::pair<int, int> count_ways(int n) {
    std::vector<int> A(n + 1, 0);
    std::vector<int> B(n + 1, 0);
    A[0] = 1;
    A[1] = 0;
    B[0] = 0;
    B[1] = 1;
    for (int i = 2; i <= n; ++i) {
        A[i] = A[i - 2] + 2 * B[i - 1];
        B[i] = A[i - 1] + B[i - 2];
    }
    return {A[n], B[n]};
}
```",5,"[assert(count_ways(2) == std::make_pair(3, 0));, assert(count_ways(8) == std::make_pair(153, 0));, assert(count_ways(12) == std::make_pair(2131, 0));]"
5,This is  a C++ function to check whether the two numbers differ at one bit position only or not.,"```
bool is_Power_Of_Two(int x) { 
    return x && !(x & (x - 1)); 
}

bool differ_At_One_Bit_Pos(int a, int b) { 
    return is_Power_Of_Two(a ^ b); 
}
```",6,"[assert(differ_At_One_Bit_Pos(13, 9) == true);, assert(differ_At_One_Bit_Pos(15, 8) == false);, assert(differ_At_One_Bit_Pos(2, 4) == false);]"
7,This is  a function to find squares of individual elements in a list using lambda function.,"```
#include <vector>
#include <algorithm>
#include <cassert>

std::vector<int> square_nums(const std::vector<int>& nums) {
    std::vector<int> squared_nums(nums.size());
    std::transform(nums.begin(), nums.end(), squared_nums.begin(), [](int x) { return x * x; });
    return squared_nums;
}
```",8,"[assert(square_nums({ 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 }) == std::vector<int>({ 1, 4, 9, 16, 25, 36, 49, 64, 81, 100 }));, assert(square_nums({ 10, 20, 30 }) == std::vector<int>({ 100, 400, 900 }));, assert(square_nums({ 12, 15 }) == std::vector<int>({ 144, 225 }));]"
8,This is  a C++ function to find the minimum number of rotations required to get the same string.,"```
#include <iostream>
#include <string>

int find_Rotations(const std::string& str) {
    std::string tmp = str + str;
    int n = str.length();
    for (int i = 1; i <= n; ++i) {
        std::string substring = tmp.substr(i, n);
        if (str == substring) {
            return i;
        }
    }
    return n;
}
```",9,"[assert(find_Rotations(""aaaa"") == 1);, assert(find_Rotations(""ab"") == 2);, assert(find_Rotations(""abc"") == 3);]"
10,This is  a C++ function to remove first and last occurrence of a given character from the string.,"```
#include <string>

std::pair<std::string, std::string> remove_Occ(std::string s, char ch) {
    for (size_t i = 0; i < s.length(); i++) {
        if (s[i] == ch) {
            s = s.substr(0, i) + s.substr(i + 1);
            break;
        }
    }
    for (int i = s.length() - 1; i >= 0; i--) {
        if (s[i] == ch) {
            s = s.substr(0, i) + s.substr(i + 1);
            break;
        }
    }
    return {s, """"};
}
```",11,"[assert(remove_Occ(""hello"", \l\).first == ""heo"");, assert(remove_Occ(""abcda"", \a\).first == ""bcd"");, assert(remove_Occ(""PHP"", \P\).first == ""H"");]"
11,This is  a function to sort a given matrix in ascending order according to the sum of its rows.,"
```
#include <vector>
#include <algorithm>
#include <numeric>

std::pair<std::vector<std::vector<int>>, std::vector<int>> sort_matrix(const std::vector<std::vector<int>>& M) {
    std::vector<std::vector<int>> result = M;
    std::sort(result.begin(), result.end(), [](const std::vector<int>& a, const std::vector<int>& b) {
        return std::accumulate(a.begin(), a.end(), 0) < std::accumulate(b.begin(), b.end(), 0);
        });
    return { result, {} };
}
```",12,"[assert((sort_matrix({ {1, 2, 3}, {2, 4, 5}, {1, 1, 1} }).first == std::vector<std::vector<int>>{ {1, 1, 1}, { 1, 2, 3 }, { 2, 4, 5 } }));, assert((sort_matrix({ {1, 2, 3}, {-2, 4, -5}, {1, -1, 1} }).first == std::vector<std::vector<int>>{ {-2, 4, -5}, { 1, -1, 1 }, { 1, 2, 3 } }));, assert((sort_matrix({ {5, 8, 9}, {6, 4, 3}, {2, 1, 4} }).first == std::vector<std::vector<int>>{ {2, 1, 4}, { 6, 4, 3 }, { 5, 8, 9 } }));]"
