Unnamed: 0,text,code,task_id,test_list,Unnamed: 5
6, this function to find all words which are at least 4 characters long in a string by using regex.,"function findCharLong(text) {
    return text.match(/\b\w{4,}\b/g) || []; 
}",7,"[ console.assert(findCharLong(""Please move back to stream"").toString() === [""Please"", ""move"", ""back"", ""stream""].toString(), ""Test Case 1 Failed""),
console.assert(findCharLong(""Jing Eco and Tech"").toString() === [""Jing"", ""Tech""].toString(), ""Test Case 2 Failed""),
console.assert(findCharLong(""Jhingai wulu road Zone 3"").toString() === [""Jhingai"", ""wulu"", ""road"", ""Zone""].toString(), ""Test Case 3 Failed"")]",
9, this function to get the n smallest items from a dataset.,"
function smallNNum(list1, n) {
  return list1.sort((a, b) => a - b).slice(0, n);
}
",10,"
[console.assert(smallNNum([10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100], 2).toString() === [10, 20].toString()), console.assert(smallNNum([10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100], 5).toString() === [10, 20, 20, 40, 50].toString()), console.assert(smallNNum([10, 20, 50, 70, 90, 20, 50, 40, 60, 80, 100], 3).toString() === [10, 20, 20].toString())]
",
50, this function to print check if the triangle is equilateral or not.,"
function checkEquilateral(x, y, z) {
  if (x === y && y === z) {
    return true;
  } else {
    return false;
  }
}
",51,"
[console.assert(checkEquilateral(6, 8, 12) === false), console.assert(checkEquilateral(6, 6, 12) === false), console.assert(checkEquilateral(6, 6, 6) === true)]
",
52, this   function to check whether the first and last characters of a given string are equal or not.,"
function check_Equality(str) {
  if (str[0] === str[str.length - 1]) {
    return ""Equal"";
  } else {
    return ""Not Equal"";
  }
}
",53,"
[console.assert(check_Equality(""abcda"") === ""Equal""), console.assert(check_Equality(""ab"") === ""Not Equal""), console.assert(check_Equality(""mad"") === ""Not Equal"")]
",
58, this function to find the nth octagonal number.,"
function isOctagonal(n) {
    return 3 * n * n - 2 * n;
}
",59,"
[console.assert(isOctagonal(5) === 65), console.assert(isOctagonal(10) === 280), console.assert(isOctagonal(15) === 645)]
",
70, this function to sort a list of elements using comb sort.,"
function combSort(nums) {
    let shrinkFact = 1.3;
    let gaps = nums.length;
    let swapped = true;
    let i = 0;
    while (gaps > 1 || swapped) {
        gaps = Math.floor(gaps / shrinkFact);
        swapped = false;
        i = 0;
        while (gaps + i < nums.length) {
            if (nums[i] > nums[i + gaps]) {
                [nums[i], nums[i + gaps]] = [nums[i + gaps], nums[i]];
                swapped = true;
            }
            i++;
        }
    }
    return nums;
}
",71,"
[console.assert(combSort([5, 15, 37, 25, 79]).toString() === [5, 15, 25, 37, 79].toString()), 
 console.assert(combSort([41, 32, 15, 19, 22]).toString() === [15, 19, 22, 32, 41].toString()), 
 console.assert(combSort([99, 15, 13, 47]).toString() === [13, 15, 47, 99].toString())]
",
72, this function to split the given string with multiple delimiters by using regex.,"function multipleSplit(text) {
  return text.split(/; |, |\*|\n/).map(s => s.trim());
}",73,"[console.assert(
  JSON.stringify(multipleSplit(""Forces of the \ndarkness*are coming into the play."")) === 
  JSON.stringify([""Forces of the"", ""darkness"", ""are coming into the play.""]),
  ""Test Case 1 Failed""
),
console.assert(
  JSON.stringify(multipleSplit(""Mi Box runs on the \n Latest android*which has google assistance and chromecast."")) === 
  JSON.stringify([""Mi Box runs on the"", ""Latest android"", ""which has google assistance and chromecast.""]),
  ""Test Case 2 Failed""
),
console.assert(
  JSON.stringify(multipleSplit(""Certain services\nare subjected to change*over the seperate subscriptions."")) === 
  JSON.stringify([""Certain services"", ""are subjected to change"", ""over the seperate subscriptions.""]),
  ""Test Case 3 Failed""
)]",
80, this function to zip the two given tuples.,"
function zip_tuples(test_tup1, test_tup2) {
    let res = [];
    for (let i = 0; i < test_tup1.length; i++) {
        res.push([test_tup1[i], test_tup2[i % test_tup2.length]]);
    }
    return res;
}
",81,"
[console.assert(JSON.stringify(zip_tuples([7, 8, 4, 5, 9, 10], [1, 5, 6])) === JSON.stringify([[7, 1], [8, 5], [4, 6], [5, 1], [9, 5], [10, 6]])), console.assert(JSON.stringify(zip_tuples([8, 9, 5, 6, 10, 11], [2, 6, 7])) === JSON.stringify([[8, 2], [9, 6], [5, 7], [6, 2], [10, 6], [11, 7]])), console.assert(JSON.stringify(zip_tuples([9, 10, 6, 7, 11, 12], [3, 7, 8])) === JSON.stringify([[9, 3], [10, 7], [6, 8], [7, 3], [11, 7], [12, 8]]))]
",
81, this function to find the volume of a sphere.,"
function volume_sphere(r) {
  let volume = (4/3) * Math.PI * r * r * r;
  return volume;
}
",82,"
[console.assert(volume_sphere(10) === 4188.790204786391), console.assert(volume_sphere(25) === 65449.84694978735), console.assert(volume_sphere(20) === 33510.32163829113)]
",
88, this function to find the closest smaller number than n.,"
function closestNum(N) {
  return N - 1;
}
",89,"[
  console.assert(closestNum(11) === 10),
  console.assert(closestNum(7) === 6),
  console.assert(closestNum(12) === 11)
]",
92, this function to calculate the value of a to the power b.,"
function power(a, b) {
    if (b === 0) {
        return 1;
    } else if (a === 0) {
        return 0;
    } else if (b === 1) {
        return a;
    } else {
        return a * power(a, b - 1);
    }
}
",93,"
[console.assert(power(3, 4) === 81), console.assert(power(2, 3) === 8), console.assert(power(5, 5) === 3125)]
",
95, this   function to find the number of divisors of a given integer.,"
function divisor(n) {
  let x = 0;
  for (let i = 1; i < n + 1; i++) {
    if (n % i === 0) {
      x++;
    }
  }
  return x;
}
",96,"
[console.assert(divisor(15) === 4), console.assert(divisor(12) === 6), console.assert(divisor(9) === 3)]
",
125, this   function to find the sum of common divisors of two given numbers.,"
function sum(a, b) {
    let sum = 0;
    for (let i = 1; i < Math.min(a, b); i++) {
        if (a % i === 0 && b % i === 0) {
            sum += i;
        }
    }
    return sum;
}
",126,"
[console.assert(sum(10, 15) === 6), console.assert(sum(100, 150) === 93), console.assert(sum(4, 6) === 3)]
",
128, this function to calculate magic square.,"
function magicSquareTest(myMatrix) {
    const iSize = myMatrix[0].length;
    const sumList = [];
    sumList.push(...myMatrix.map(lines => lines.reduce((a, b) => a + b, 0)));

    for (let col = 0; col < iSize; col++) {
        sumList.push(myMatrix.reduce((acc, row) => acc + row[col], 0));
    }

    let result1 = 0;
    for (let i = 0; i < iSize; i++) {
        result1 += myMatrix[i][i];
    }
    sumList.push(result1);

    let result2 = 0;
    for (let i = iSize - 1; i >= 0; i--) {
        result2 += myMatrix[i][i];
    }
    sumList.push(result2);

    if (new Set(sumList).size > 1) {
        return false;
    }
    return true;
}
",129,"[
    console.assert(magicSquareTest([[7, 12, 1, 14], [2, 13, 8, 11], [16, 3, 10, 5], [9, 6, 15, 4]]) === true),
    console.assert(magicSquareTest([[2, 7, 6], [9, 5, 1], [4, 3, 8]]) === true),
    console.assert(magicSquareTest([[2, 7, 6], [9, 5, 1], [4, 3, 7]]) === false)
]",
149, this   function to find whether the given number is present in the infinite sequence or not.,"
function does_Contain_B(a, b, c) {
    if (a === b) {
        return true;
    }
    if ((b - a) * c > 0 && (b - a) % c === 0) {
        return true;
    }
    return false;
}
",150,"
[console.assert(does_Contain_B(1,7,3) === true), console.assert(does_Contain_B(1,-3,5) === false), console.assert(does_Contain_B(3,2,5) === false)]
",
170, this function to find the perimeter of a pentagon.,"
function perimeterPentagon(a) {
  let perimeter = (5 * a);
  return perimeter;
}
",171,"
[console.assert(perimeterPentagon(5) === 25), console.assert(perimeterPentagon(10) === 50), console.assert(perimeterPentagon(15) === 75)]
",
188, this   function to find the first missing positive number.,"
function firstMissingPositive(arr, n) {
    let ptr = 0;
    for (let i = 0; i < n; i++) {
        if (arr[i] === 1) {
            ptr = 1;
            break;
        }
    }
    if (ptr === 0) {
        return 1;
    }
    for (let i = 0; i < n; i++) {
        if (arr[i] <= 0 || arr[i] > n) {
            arr[i] = 1;
        }
    }
    for (let i = 0; i < n; i++) {
        arr[(arr[i] - 1) % n] += n;
    }
    for (let i = 0; i < n; i++) {
        if (arr[i] <= n) {
            return i + 1;
        }
    }
    return n + 1;
}
",189,"[
  console.assert(firstMissingPositive([1,2,3,-1,5], 5) === 4),
  console.assert(firstMissingPositive([0,-1,-2,1,5,8], 6) === 2),
  console.assert(firstMissingPositive([0,1,2,5,-8], 5) === 3)
]",
196, this function to perform the exponentiation of the given two tuples.,"function find_exponentio(test_tup1, test_tup2) {
  return test_tup1.map((ele1, index) => Math.pow(ele1, test_tup2[index]));
}",197,"[console.assert(
  JSON.stringify(find_exponentio([10, 4, 5, 6], [5, 6, 7, 5])) === 
  JSON.stringify([100000, 4096, 78125, 7776]),
  ""Test Case 1 Failed""
),
console.assert(
  JSON.stringify(find_exponentio([11, 5, 6, 7], [6, 7, 8, 6])) === 
  JSON.stringify([1771561, 78125, 1679616, 117649]),
  ""Test Case 2 Failed""
),
console.assert(
  JSON.stringify(find_exponentio([12, 6, 7, 8], [7, 8, 9, 7])) === 
  JSON.stringify([35831808, 1679616, 40353607, 2097152]),
  ""Test Case 3 Failed""
)]",
203, this   function to count the occurrence of a given character in a string.,"
function count(s, c) {
    let res = 0;
    for (let i = 0; i < s.length; i++) {
        if (s[i] === c) {
            res++;
        }
    }
    return res;
}
",204,"[
  console.assert(count(""abcc"", ""c"") == 2),
  console.assert(count(""ababca"", ""a"") == 3),
  console.assert(count(""mnmm0pm"", ""m"") == 4)
]",
212, this function to perform the concatenation of two string tuples.,"function concatenateStrings(testTup1, testTup2) {
  return testTup1.map((ele1, index) => ele1 + testTup2[index]);
}",213,"[console.assert(
  JSON.stringify(concatenateStrings([""Manjeet"", ""Nikhil"", ""Akshat""], ["" Singh"", "" Meherwal"", "" Garg""])) === 
  JSON.stringify([""Manjeet Singh"", ""Nikhil Meherwal"", ""Akshat Garg""]),
  ""Test Case 1 Failed""
),
console.assert(
  JSON.stringify(concatenateStrings([""Shaik"", ""Ayesha"", ""Sanya""], ["" Dawood"", "" Begum"", "" Singh""])) === 
  JSON.stringify([""Shaik Dawood"", ""Ayesha Begum"", ""Sanya Singh""]),
  ""Test Case 2 Failed""
),
console.assert(
  JSON.stringify(concatenateStrings([""Harpreet"", ""Priyanka"", ""Muskan""], ["" Kour"", "" Agarwal"", "" Sethi""])) === 
  JSON.stringify([""Harpreet Kour"", ""Priyanka Agarwal"", ""Muskan Sethi""]),
  ""Test Case 3 Failed""
)]",
217, this   function to find the minimum operations required to make two numbers equal.,"
function min_Operations(A, B) {  
  if (A > B) { 
      [A, B] = [B, A];  
  } 

  let x = A, y = B;
  while (y !== 0) {
      let temp = y;
      y = x % y;
      x = temp;
  }

  B = B / x;  
  return B - 1; 
}",218,"
[console.assert(min_Operations(2, 4) === 1), console.assert(min_Operations(4, 10) === 4), console.assert(min_Operations(1, 4) === 3)]
",
220, this   function to find the first even number in a given list of numbers.,"
function firstEven(nums) {
    const firstEven = nums.find(el => el % 2 === 0) || -1;
    return firstEven;
}
",221,"[
  console.assert(firstEven([1, 3, 5, 7, 4, 1, 6, 8]) === 4),
  console.assert(firstEven([2, 3, 4]) === 2),
  console.assert(firstEven([5, 6, 7]) === 6)
]",
